X3,Y3,Z3,X2,Y2,Z2,X1,Y1,Z1
410,327,640.0,404.0,328.0,647.0,412.0,337.0,654.0
411,327,638.0,404.0,328.0,646.0,411.0,338.0,653.0
411,327,640.0,404.0,329.0,648.0,410.0,337.0,654.0
410,328,639.0,404.0,327.0,646.0,410.0,337.0,653.0
410,327,640.0,404.0,327.0,646.0,411.0,337.0,652.0
410,327,639.0,404.0,328.0,649.0,411.0,339.0,653.0
410,328,639.0,404.0,327.0,647.0,411.0,337.0,653.0
410,327,639.0,404.0,328.0,648.0,411.0,338.0,654.0
409,327,640.0,404.0,327.0,648.0,410.0,337.0,654.0
409,328,639.0,404.0,328.0,648.0,411.0,337.0,654.0
410,327,639.0,404.0,327.0,648.0,411.0,338.0,653.0
410,327,639.0,404.0,328.0,647.0,410.0,337.0,652.0
410,327,638.0,403.0,328.0,647.0,411.0,338.0,654.0
411,326,638.0,405.0,327.0,647.0,410.0,337.0,653.0
409,327,639.0,405.0,327.0,649.0,411.0,337.0,654.0
410,327,639.0,404.0,327.0,647.0,410.0,338.0,654.0
410,327,639.0,405.0,329.0,647.0,410.0,338.0,653.0
410,327,639.0,404.0,327.0,648.0,410.0,337.0,653.0
410,327,640.0,404.0,328.0,646.0,410.0,337.0,654.0
410,326,639.0,405.0,328.0,647.0,410.0,338.0,653.0
410,328,640.0,405.0,326.0,648.0,410.0,338.0,653.0
409,327,639.0,404.0,329.0,648.0,410.0,338.0,653.0
410,328,639.0,404.0,327.0,647.0,410.0,338.0,654.0
409,327,638.0,404.0,329.0,647.0,410.0,338.0,653.0
410,327,639.0,404.0,328.0,648.0,410.0,338.0,654.0
411,328,639.0,404.0,328.0,648.0,411.0,337.0,654.0
410,328,638.0,405.0,328.0,647.0,411.0,337.0,653.0
410,327,639.0,404.0,328.0,648.0,410.0,338.0,653.0
411,328,640.0,404.0,329.0,647.0,410.0,336.0,654.0
410,327,639.0,404.0,328.0,647.0,411.0,337.0,653.0
409,327,639.0,405.0,328.0,647.0,411.0,338.0,653.0
410,328,639.0,403.0,327.0,647.0,412.0,337.0,653.0
410,327,639.0,404.0,328.0,647.0,410.0,337.0,653.0
409,327,639.0,404.0,328.0,648.0,410.0,337.0,654.0
411,326,640.0,404.0,327.0,648.0,411.0,338.0,653.0
410,328,638.0,404.0,328.0,647.0,411.0,338.0,654.0
410,327,639.0,404.0,327.0,648.0,411.0,337.0,652.0
410,327,640.0,404.0,328.0,647.0,410.0,337.0,654.0
410,327,640.0,405.0,328.0,648.0,410.0,338.0,654.0
410,327,638.0,405.0,327.0,647.0,410.0,339.0,653.0
410,328,640.0,405.0,329.0,647.0,411.0,337.0,653.0
410,327,639.0,404.0,327.0,647.0,411.0,338.0,654.0
