X3,Y3,Z3,X2,Y2,Z2,X1,Y1,Z1
401,330,642.0,402.0,335.0,659.0,415.0,347.0,666.0
402,329,641.0,403.0,335.0,660.0,415.0,346.0,666.0
402,329,641.0,403.0,336.0,659.0,415.0,346.0,666.0
401,330,641.0,402.0,335.0,658.0,415.0,346.0,665.0
402,330,643.0,402.0,335.0,658.0,415.0,346.0,665.0
402,329,641.0,401.0,335.0,658.0,414.0,345.0,665.0
402,330,642.0,402.0,336.0,658.0,415.0,345.0,665.0
402,329,642.0,402.0,335.0,658.0,415.0,345.0,664.0
401,330,642.0,402.0,335.0,659.0,414.0,346.0,665.0
401,329,641.0,403.0,335.0,659.0,413.0,346.0,665.0
402,330,642.0,403.0,334.0,658.0,415.0,345.0,665.0
402,329,641.0,404.0,335.0,657.0,415.0,346.0,666.0
401,328,642.0,403.0,334.0,658.0,415.0,345.0,667.0
402,329,642.0,402.0,334.0,658.0,415.0,345.0,665.0
402,329,641.0,403.0,335.0,657.0,415.0,346.0,665.0
401,329,641.0,402.0,334.0,658.0,415.0,345.0,666.0
402,329,642.0,404.0,334.0,658.0,415.0,345.0,665.0
401,329,641.0,403.0,334.0,657.0,415.0,345.0,666.0
403,329,641.0,403.0,335.0,658.0,415.0,344.0,665.0
402,328,641.0,404.0,333.0,658.0,415.0,345.0,665.0
402,328,642.0,403.0,335.0,658.0,415.0,345.0,665.0
402,329,641.0,402.0,334.0,659.0,415.0,345.0,665.0
402,329,642.0,402.0,334.0,658.0,414.0,346.0,665.0
402,329,641.0,402.0,335.0,658.0,416.0,345.0,666.0
402,329,642.0,404.0,334.0,658.0,416.0,346.0,666.0
403,329,642.0,403.0,334.0,660.0,415.0,346.0,665.0
403,329,641.0,404.0,334.0,659.0,416.0,345.0,665.0
402,328,642.0,404.0,334.0,658.0,416.0,346.0,665.0
403,329,642.0,405.0,335.0,659.0,416.0,346.0,667.0
403,329,642.0,404.0,334.0,659.0,416.0,346.0,666.0
403,329,642.0,404.0,334.0,659.0,417.0,345.0,665.0
404,329,642.0,404.0,334.0,659.0,416.0,344.0,665.0
404,328,642.0,405.0,333.0,659.0,417.0,345.0,666.0
404,329,643.0,404.0,335.0,660.0,417.0,346.0,667.0
404,329,643.0,405.0,334.0,659.0,417.0,346.0,664.0
404,329,642.0,404.0,335.0,660.0,417.0,346.0,666.0
405,329,642.0,404.0,335.0,659.0,417.0,345.0,666.0
405,328,642.0,404.0,335.0,658.0,417.0,346.0,667.0
404,329,643.0,405.0,335.0,659.0,417.0,345.0,666.0
405,328,642.0,406.0,334.0,659.0,417.0,346.0,665.0
404,329,642.0,406.0,335.0,659.0,417.0,346.0,666.0
405,329,642.0,406.0,335.0,660.0,417.0,346.0,665.0
406,328,642.0,405.0,335.0,660.0,417.0,346.0,667.0
405,329,643.0,406.0,336.0,660.0,418.0,346.0,667.0
404,329,643.0,405.0,334.0,659.0,418.0,346.0,668.0
405,329,643.0,406.0,335.0,660.0,418.0,346.0,667.0
405,330,643.0,405.0,334.0,659.0,418.0,347.0,667.0
406,329,644.0,406.0,334.0,661.0,417.0,347.0,667.0
405,329,644.0,406.0,334.0,660.0,417.0,346.0,666.0
404,329,643.0,406.0,335.0,660.0,417.0,347.0,666.0
405,329,644.0,407.0,335.0,661.0,417.0,348.0,667.0
405,329,643.0,406.0,334.0,660.0,417.0,346.0,666.0
405,329,644.0,406.0,335.0,660.0,418.0,347.0,666.0
405,329,644.0,406.0,335.0,659.0,418.0,347.0,666.0
405,330,645.0,406.0,336.0,661.0,419.0,347.0,668.0
406,329,644.0,406.0,335.0,660.0,418.0,347.0,668.0
407,329,644.0,406.0,335.0,660.0,418.0,346.0,668.0
406,329,645.0,407.0,336.0,661.0,418.0,347.0,668.0
406,329,645.0,407.0,335.0,660.0,419.0,348.0,666.0
406,329,645.0,407.0,335.0,661.0,419.0,346.0,667.0
407,329,645.0,407.0,336.0,661.0,418.0,347.0,667.0
406,330,644.0,408.0,335.0,660.0,418.0,347.0,667.0
406,329,645.0,406.0,336.0,661.0,418.0,348.0,667.0
406,330,644.0,407.0,335.0,660.0,420.0,348.0,668.0
407,330,645.0,407.0,335.0,660.0,418.0,348.0,666.0
406,330,644.0,407.0,336.0,660.0,418.0,347.0,667.0
406,330,644.0,407.0,335.0,660.0,418.0,348.0,668.0
407,330,644.0,407.0,336.0,661.0,418.0,347.0,668.0
406,329,645.0,407.0,336.0,661.0,418.0,348.0,667.0
406,330,644.0,406.0,335.0,660.0,418.0,348.0,667.0
406,330,644.0,407.0,336.0,660.0,418.0,348.0,669.0
406,330,644.0,407.0,336.0,660.0,418.0,348.0,667.0
406,330,644.0,406.0,336.0,661.0,418.0,348.0,668.0
406,330,645.0,406.0,336.0,660.0,418.0,347.0,666.0
406,330,645.0,407.0,336.0,661.0,418.0,348.0,668.0
405,330,643.0,406.0,336.0,661.0,418.0,348.0,668.0
406,330,645.0,407.0,336.0,660.0,417.0,348.0,666.0
405,331,645.0,406.0,336.0,661.0,418.0,348.0,667.0
405,330,644.0,406.0,336.0,660.0,418.0,347.0,668.0
406,330,645.0,407.0,336.0,661.0,417.0,349.0,668.0
407,329,645.0,406.0,337.0,661.0,419.0,347.0,669.0
406,329,644.0,407.0,336.0,661.0,417.0,349.0,668.0
406,330,644.0,406.0,336.0,660.0,417.0,347.0,667.0
405,332,646.0,407.0,338.0,662.0,418.0,350.0,667.0
405,332,645.0,405.0,338.0,661.0,416.0,348.0,668.0
405,335,645.0,407.0,341.0,662.0,418.0,351.0,666.0
406,333,645.0,408.0,339.0,661.0,419.0,350.0,670.0
406,328,644.0,407.0,334.0,660.0,424.0,343.0,669.0
405,321,642.0,404.0,328.0,661.0,416.0,336.0,668.0
403,327,643.0,402.0,332.0,661.0,406.0,346.0,662.0
401,348,645.0,404.0,353.0,662.0,414.0,370.0,662.0
407,351,648.0,415.0,354.0,660.0,440.0,361.0,673.0
411,309,645.0,413.0,313.0,659.0,435.0,314.0,678.0
403,304,639.0,396.0,313.0,660.0,391.0,336.0,665.0
395,374,646.0,401.0,379.0,665.0,407.0,403.0,655.0
412,352,652.0,421.0,353.0,661.0,457.0,340.0,673.0
412,260,637.0,404.0,268.0,655.0,399.0,282.0,679.0
