X3,Y3,Z3,X2,Y2,Z2,X1,Y1,Z1
418,322,616.0,411.0,321.0,633.0,425.0,334.0,642.0
419,322,617.0,409.0,322.0,633.0,425.0,334.0,642.0
418,323,616.0,411.0,322.0,632.0,426.0,333.0,641.0
419,322,617.0,410.0,323.0,632.0,425.0,334.0,642.0
419,322,617.0,410.0,322.0,632.0,424.0,333.0,642.0
418,323,617.0,410.0,321.0,634.0,425.0,333.0,641.0
419,322,616.0,410.0,321.0,633.0,425.0,333.0,642.0
419,322,616.0,411.0,321.0,633.0,425.0,334.0,641.0
419,322,616.0,410.0,322.0,631.0,424.0,333.0,642.0
418,324,615.0,411.0,322.0,632.0,424.0,333.0,641.0
418,321,616.0,411.0,321.0,632.0,424.0,334.0,643.0
418,322,616.0,411.0,322.0,634.0,424.0,333.0,642.0
418,323,617.0,410.0,321.0,632.0,425.0,333.0,642.0
419,322,616.0,410.0,322.0,632.0,424.0,333.0,642.0
418,322,617.0,410.0,321.0,633.0,425.0,333.0,642.0
418,322,616.0,411.0,321.0,632.0,424.0,333.0,641.0
418,323,616.0,410.0,322.0,633.0,424.0,333.0,642.0
418,322,615.0,410.0,322.0,632.0,424.0,333.0,642.0
418,322,616.0,410.0,322.0,632.0,424.0,332.0,642.0
418,322,616.0,411.0,321.0,632.0,425.0,332.0,642.0
418,323,615.0,410.0,322.0,632.0,425.0,333.0,642.0
419,322,616.0,410.0,321.0,632.0,424.0,333.0,641.0
419,322,614.0,410.0,322.0,633.0,425.0,332.0,643.0
419,322,616.0,410.0,322.0,633.0,425.0,333.0,642.0
419,322,616.0,411.0,321.0,632.0,424.0,333.0,641.0
419,322,616.0,410.0,322.0,632.0,424.0,333.0,641.0
419,322,616.0,410.0,321.0,633.0,424.0,333.0,642.0
418,322,616.0,410.0,321.0,632.0,425.0,333.0,642.0
418,322,614.0,410.0,322.0,632.0,424.0,334.0,641.0
418,322,616.0,410.0,321.0,632.0,425.0,332.0,642.0
419,322,615.0,410.0,322.0,633.0,425.0,333.0,641.0
419,322,616.0,411.0,321.0,632.0,424.0,333.0,642.0
418,322,615.0,410.0,321.0,633.0,425.0,333.0,642.0
418,322,616.0,409.0,322.0,632.0,425.0,333.0,641.0
418,323,615.0,410.0,322.0,633.0,425.0,333.0,642.0
418,322,616.0,410.0,322.0,631.0,425.0,333.0,642.0
420,322,616.0,410.0,321.0,633.0,425.0,333.0,643.0
419,322,616.0,410.0,321.0,632.0,424.0,333.0,641.0
419,322,616.0,410.0,321.0,633.0,425.0,333.0,641.0
418,322,615.0,410.0,322.0,632.0,424.0,333.0,641.0
419,322,617.0,410.0,322.0,633.0,425.0,333.0,643.0
419,322,617.0,411.0,320.0,633.0,425.0,333.0,643.0
418,322,615.0,409.0,322.0,631.0,425.0,332.0,641.0
419,322,615.0,410.0,322.0,632.0,425.0,332.0,643.0
418,322,616.0,410.0,322.0,632.0,424.0,332.0,641.0
419,322,615.0,410.0,322.0,632.0,425.0,332.0,642.0
419,322,616.0,410.0,322.0,632.0,425.0,332.0,641.0
418,322,616.0,410.0,321.0,632.0,425.0,333.0,640.0
418,321,616.0,411.0,321.0,633.0,425.0,333.0,643.0
419,321,616.0,410.0,321.0,632.0,425.0,332.0,642.0
419,322,615.0,410.0,321.0,632.0,425.0,332.0,642.0
419,321,616.0,410.0,321.0,633.0,424.0,332.0,643.0
419,321,615.0,410.0,321.0,633.0,425.0,333.0,642.0
418,322,616.0,410.0,321.0,633.0,425.0,333.0,641.0
419,322,615.0,411.0,321.0,633.0,424.0,332.0,642.0
418,321,616.0,410.0,321.0,633.0,425.0,332.0,642.0
418,323,617.0,410.0,322.0,632.0,425.0,332.0,641.0
418,321,616.0,409.0,321.0,632.0,425.0,332.0,641.0
418,321,615.0,410.0,321.0,632.0,425.0,332.0,643.0
419,323,617.0,410.0,321.0,633.0,426.0,332.0,642.0
418,322,616.0,411.0,322.0,633.0,425.0,333.0,641.0
419,322,615.0,410.0,322.0,632.0,425.0,332.0,641.0
418,322,614.0,410.0,321.0,633.0,425.0,333.0,642.0
419,322,616.0,410.0,321.0,631.0,425.0,332.0,642.0
419,322,616.0,410.0,321.0,632.0,423.0,333.0,643.0
419,322,616.0,410.0,321.0,632.0,425.0,333.0,641.0
418,322,615.0,410.0,321.0,633.0,425.0,332.0,641.0
419,322,616.0,411.0,321.0,632.0,425.0,333.0,641.0
418,323,616.0,410.0,321.0,632.0,425.0,332.0,642.0
419,322,617.0,410.0,322.0,632.0,424.0,333.0,642.0
418,322,616.0,411.0,320.0,632.0,425.0,332.0,642.0
419,323,616.0,410.0,322.0,633.0,425.0,333.0,642.0
418,321,616.0,410.0,321.0,632.0,424.0,333.0,641.0
419,322,616.0,410.0,322.0,632.0,425.0,332.0,643.0
419,322,616.0,410.0,321.0,632.0,425.0,333.0,642.0
418,322,615.0,411.0,321.0,633.0,424.0,333.0,641.0
419,322,616.0,411.0,321.0,632.0,425.0,333.0,641.0
420,322,615.0,411.0,321.0,632.0,425.0,332.0,642.0
418,321,615.0,410.0,321.0,633.0,425.0,333.0,642.0
418,322,616.0,411.0,321.0,633.0,424.0,334.0,641.0
419,322,617.0,410.0,322.0,632.0,425.0,334.0,641.0
418,322,616.0,409.0,321.0,633.0,426.0,331.0,641.0
419,322,615.0,411.0,321.0,632.0,427.0,333.0,642.0
419,322,614.0,412.0,321.0,632.0,427.0,333.0,643.0
419,322,615.0,413.0,318.0,632.0,426.0,327.0,641.0
420,317,614.0,408.0,317.0,631.0,422.0,329.0,642.0
418,318,614.0,406.0,320.0,632.0,420.0,328.0,640.0
417,326,616.0,404.0,327.0,632.0,411.0,342.0,639.0
415,336,618.0,408.0,335.0,633.0,423.0,349.0,638.0
419,329,618.0,418.0,324.0,633.0,451.0,334.0,643.0
424,308,611.0,423.0,298.0,631.0,446.0,313.0,650.0
425,299,610.0,404.0,305.0,632.0,392.0,326.0,650.0
412,341,618.0,394.0,353.0,639.0,376.0,368.0,633.0
409,361,625.0,417.0,351.0,636.0,471.0,346.0,628.0
425,294,614.0,428.0,273.0,622.0,491.0,280.0,654.0
425,285,607.0,400.0,299.0,627.0,343.0,351.0,658.0
408,378,623.0,396.0,397.0,649.0,382.0,401.0,623.0
420,330,618.0,432.0,301.0,631.0,745.0,249.0,631.0
430,245,603.0,401.0,246.0,612.0,559.0,310.0,669.0
403,387,623.0,395.0,421.0,651.0,330.0,456.0,633.0
428,330,620.0,439.0,295.0,642.0,783.0,210.0,624.0
427,236,599.0,386.0,240.0,601.0,531.0,324.0,670.0
394,422,632.0,408.0,456.0,658.0,360.0,485.0,629.0
445,273,611.0,440.0,227.0,637.0,804.0,134.0,629.0
407,280,603.0,366.0,305.0,600.0,252.0,441.0,666.0
404,433,641.0,448.0,439.0,672.0,512.0,571.0,619.0
451,203,594.0,409.0,164.0,609.0,673.0,154.0,648.0
387,385,621.0,371.0,435.0,626.0,238.0,742.0,649.0
459,288,622.0,468.0,273.0,668.0,841.0,122.0,620.0
418,250,589.0,344.0,273.0,586.0,260.0,373.0,665.0
