0 Minutes:
x3:  1.12
x2:  1.45
x1:  25.23
y3:  4.82
y2:  3.43
y1:  4.93
z3:  0.30
z2:  0.65
z1:  8.23

10 Minutes:
x3:  0.69
x2:  1.68
x1:  20.21
y3:  4.12
y2:  6.89
y1:  5.81
z3:  1.73
z2:  0.86
z1:  7.22

20 Minutes:
x3:  0.14
x2:  1.35
x1:  9.67
y3:  1.15
y2:  5.11
y1:  4.13
z3:  0.75
z2:  2.19
z1:  3.56

30 Minutes:
x3:  0.18
x2:  0.60
x1:  29.67
y3:  1.07
y2:  6.27
y1:  12.63
z3:  0.46
z2:  6.24
z1:  6.34

40 Minutes:
x3:  0.97
x2:  2.49
x1:  27.33
y3:  2.04
y2:  7.07
y1:  6.51
z3:  0.91
z2:  4.48
z1:  4.64

50 Minutes:
x3:  0.14
x2:  1.19
x1:  14.07
y3:  0.84
y2:  3.33
y1:  6.12
z3:  0.48
z2:  3.81
z1:  3.44

60 Minutes:
x3:  0.06
x2:  0.65
x1:  11.21
y3:  0.75
y2:  2.63
y1:  7.17
z3:  0.14
z2:  2.43
z1:  5.71

